,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
0,1871,BS1,BNA,3,,,,Boston Red Stockings,South End Grounds I,103,98
1,1871,CH1,CNA,2,,,,Chicago White Stockings,Union Base-Ball Grounds,104,102
2,1871,CL1,CFC,8,,,,Cleveland Forest Citys,National Association Grounds,96,100
3,1871,FW1,KEK,7,,,,Fort Wayne Kekiongas,Hamilton Field,101,107
4,1871,NY2,NNA,5,,,,New York Mutuals,Union Grounds (Brooklyn),90,88
5,1871,PH1,PNA,1,,,,Philadelphia Athletics,Jefferson Street Grounds,102,98
6,1871,RC1,ROK,9,,,,Rockford Forest Citys,Agricultural Society Fair Grounds,97,99
7,1871,TRO,TRO,6,,,,Troy Haymakers,Haymakers' Grounds,101,100
8,1871,WS3,OLY,4,,,,Washington Olympics,Olympics Grounds,94,98
9,1872,BL1,BLC,2,,,,Baltimore Canaries,Newington Park,106,102
10,1872,BR1,ECK,9,,,,Brooklyn Eckfords,Union Grounds,87,96
11,1872,BR2,BRA,6,,,,Brooklyn Atlantics,Capitoline Grounds,115,122
12,1872,BS1,BNA,1,,,,Boston Red Stockings,South End Grounds I,105,100
13,1872,CL1,CFC,7,,,,Cleveland Forest Citys,National Association Grounds,96,100
14,1872,MID,MAN,8,,,,Middletown Mansfields,Mansfield Club Grounds,98,103
15,1872,NY2,NNA,3,,,,New York Mutuals,Union Grounds (Brooklyn),93,92
16,1872,PH1,PNA,4,,,,Philadelphia Athletics,Jefferson Street Grounds,102,100
17,1872,TRO,TRO,5,,,,Troy Haymakers,Haymakers' Grounds,101,100
18,1872,WS3,OLY,10,,,,Washington Olympics,Olympics Grounds,94,98
19,1872,WS4,NAT,11,,,,Washington Nationals,Nationals Grounds,129,141
20,1873,BL1,BLC,3,,,,Baltimore Canaries,Newington Park,101,102
21,1873,BL4,MAR,9,,,,Baltimore Marylands,Newington Park,77,99
22,1873,BR2,BRA,6,,,,Brooklyn Atlantics,Union Grounds,90,94
23,1873,BS1,BNA,1,,,,Boston Red Stockings,South End Grounds I,106,100
24,1873,ELI,RES,8,,,,Elizabeth Resolutes,Waverly Fairgrounds,92,103
25,1873,NY2,NNA,4,,,,New York Mutuals,Union Grounds (Brooklyn),98,96
26,1873,PH1,PNA,5,,,,Philadelphia Athletics,Jefferson Street Grounds,108,105
27,1873,PH2,PWS,2,,,,Philadelphia Whites,Jefferson Street Grounds,103,101
28,1873,WS5,WBL,7,,,,Washington Blue Legs,Olympics Grounds,96,102
29,1874,BL1,BLC,8,,,,Baltimore Canaries,Newington Park,102,104
30,1874,BR2,BRA,6,,,,Brooklyn Atlantics,Union Grounds,89,94
31,1874,BS1,BNA,1,,,,Boston Red Stockings,South End Grounds I,105,98
32,1874,CH2,CNA,5,,,,Chicago White Stockings,23rd Street Grounds,101,102
33,1874,HR1,HNA,7,,,,Hartford Dark Blues,Hartford Ball Club Grounds,106,106
34,1874,NY2,NNA,2,,,,New York Mutuals,Union Grounds (Brooklyn),103,102
35,1874,PH1,PNA,3,,,,Philadelphia Athletics,Jefferson Street Grounds,108,105
36,1874,PH2,PWS,4,,,,Philadelphia Whites,Jefferson Street Grounds,103,101
37,1875,BR2,BRA,11,,,,Brooklyn Atlantics,Union Grounds,88,94
38,1875,BS1,BNA,1,,,,Boston Red Stockings,South End Grounds I,103,96
39,1875,CH2,CNA,6,,,,Chicago White Stockings,23rd Street Grounds,101,102
40,1875,HR1,HNA,3,,,,Hartford Dark Blues,Hartford Ball Club Grounds,107,105
41,1875,KEO,WES,13,,,,Keokuk Westerns,Perry Park,105,109
42,1875,NH1,NHV,8,,,,New Haven Elm Citys,Hamilton Park,87,93
43,1875,NY2,NNA,6,,,,New York Mutuals,Union Grounds (Brooklyn),99,100
44,1875,PH1,PNA,2,,,,Philadelphia Athletics,Jefferson Street Grounds,107,106
45,1875,PH2,PWS,5,,,,Philadelphia Whites,Jefferson Street Grounds,104,102
46,1875,PH3,CEN,11,,,,Philadelphia Centennials,Centennial Grounds,92,98
47,1875,SL1,SLR,10,,,,St. Louis Red Stockings,Red Stocking Baseball Park,90,98
48,1875,SL2,SNA,4,,,,St. Louis Brown Stockings,Grand Avenue Park,89,86
49,1875,WS6,WNT,9,,,,Washington Nationals,Olympics Grounds,96,106
50,1876,BSN,ATL,4,,,,Boston Red Caps,South End Grounds I,102,98
